제목,지역,소분류,성별,내용
밑반찬 서비스 배달 및 동행 자원봉사자를 찾습니다.,경남,진주시,공통,"1. 봉사일자 : 2019-04-12~2019-12-312. 봉사장소 : 진주시3. 봉사내용 : 밑반찬 서비스 배달 및 동행 자원봉사자를 찾습니다.우리 복지관은 진주 1만 7천여명의 장애인들을 위하여 전인적인 재활서비스를 제공하고 있는 진주시장애인종합복지관입니다.매주 목요일마다 재가(가정) 장애인분들을 위하여 밑반찬 서비스를 지원하고 있으며, 함께 배달 및 동행 서비스를 지원해줄 자원봉사자를 찾습니다.배달 서비스의 경우 자가용을 소지하고 계신분들이 해당되며, 동행 서비스의 경우 성인이면 누구나 가능합니다.봉사 시간은 9시부터 12시까지이며 담당 사회복지사와 함께 동행할 예정이니 부담없이 참여해주시면 됩니다. 봉사활동에 관심이 있으신 분은 055-762-0179 로 연락주시기 바랍니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
이미용 봉사 모집,부산,동래구,공통,장애인분들을 대상으로 이미용 봉사를 해주실 자원봉사자님들을 모집합니다.초보자분이나 베테랑분 상관없이 오셔서 도움 주실 분들을 기다립니다.                 시간 조율 가능하니 봉사자님들이 편하신 시간으로 부탁드리겠습니다.                     많은 지원 부탁 드립니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[나눔센터] 시각장애인 1:1 대면 옷코디 진행,서울,구로구,공통,☆해피스타일 1:1 코디 봉사자 모집☆■ 프로그램명:  해피스타일 1:1 코디 봉사자 모집■봉사진행일자 :  해피스타일 이용하는 이용자 분과 시간 조정하여 진행 됩니다.■프로그램진행장소: 서울시 근교 백화점 및 아울렛매장■봉사내용: 시각장애인 이용자 옷코디 및 시각장애인이동지원■모집인원:2명*우대사항*1) 패션 및 스타일 및 코디 및 디자인계열 준비생 및 대학생 및 종사자만 가능2)장애인에대한  인식이  좀  있으신분3) 봉사신청전  사전 전화필수!※아주 중요한  사항※1)시각장애인 이용자 분과 1:1 매칭된후 진행2)패션 및 디자인 및 코디 준비생 및 대학생 및 종사자만 가능3)신청전 꼭 연락주세요ㅡ신청 및  문의사항구로나눔장애인자립생활센터  윤지원복지사Hp) 010-5834-0233※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[신월종합사회복지관] 어르신 봄나들이 자원봉사자 모집,서울,양천구,공통,"제목: 신월종합사회복지관 어르신 봄나들이 자원봉사자 모집신월종합사회복지관에서는 지역사회 내 저소득 어르신들을 대상으로 4월 22일(월)에 봄나들이를 진행하고자 합니다.어르신들의 행복한 추억만들기에 함께 참여해주실 마음 따뜻한 자원봉사자 선생님을 모십니다.1) 일시 : 2019년 4월 22일(월) 08:30-19:002) 장소 : 충남 아산 현충사, 아산 스파비스3) 나들이 내용: 현충사 관람→점심식사(삼계탕)→아산 스파비스 온천체험→기관으로 복귀4) 자원봉사자 활동내용 :-참여 어르신 인솔 및 관리(자원봉사자분들께서는 온천을 이용하지 않습니다. 스파비스 안에서 어르신 인솔 및 안전관리역할을 요청드립니다)           5) 모집인원: 총 6명6) 기타사항 : 대학생 이상 자원봉사자 희망. 성별 무관. 점심식사(삼계탕) 지원 7) 기관위치: 서울시 양천구 신월로 24길 19 신월종합사회복지관8) 문의 : 신경인 대리(070-4755-3715)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
주거환경개선사업 활동 보조 자원봉사자 모집,부산,사상구,남,"주거환경개선어르신 주거환경개선 자원봉사자 모집합니다.-일시: 4월 22일 월요일 09:00~17:00-인원: 2명-장소: 덕포동 내 어르신 주거지(1곳)-내용: 거주지 도배/장판 교체시 주위 물품 정리정돈(도배/장판 교체는 하시는 분이 따로 있으며 시공전후 물품 정리)-문의전화: 허민제 사회복지사(T 070-4282-5875)*사상구노인복지관 분관(부산 사상구 모라로 93, 모라1동행정복지센터 4층 사무실)에 집합하여 복지관 차량으로 함께 이동합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"평일 오전 경로식당 봉사자 모집(월, 수, 목, 금)",서울,강서구,공통,"가양4복지관에서는 경로식당 봉사자를 모집하고 있습니다.  평일 오전 활동이 가능한 경로식당 활동에 참여해주시면 감사하겠습니다.1)일 시 : 월, 수, 목 금 (09:30-12:30)2) 장 소 : 서울시 강서구 가양2동 가양4종합사회복지관 1층 사랑채(경로식당)3) 활동내용 : 어르신 식사서빙, 도시락 포장 및 배달4) 기 타 : 주 1회 5) 문 의 : 서비스제공팀 박소영 사회복지사, 070-4338-4130 (오전9시~오후 6시)6) 신청방법 : VMS 신청 후 전화접수 하셔야 합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[구립영등포노인복지센터] 방문이미용 자원봉사자 모집,서울,영등포구,공통,"구립영등포노인복지센터에서는 거동이 불편하여 미용실 방문이 어려운 어르신들을 위하여 찾아가는 방문이미용 자원봉사자를 모집합니다!활동기간: 6개월 이상, 평일 또는 주말(봉사자님들의 스케줄에 맞춰 시간 자유롭게 조정 가능)활동방법: 어르신과 연락을 통한 일정 조율 후 어르신댁에 방문하여 이미용 봉사활동 진행활동지역: 영등포구 영등포동문의사항은 '02-2631-3212'로 연락주시기 바랍니다.많은 신청 부탁드립니다^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
발달 장애인 활동 동행,경북,경주시,여,"1. 봉사시간- 2019.04.28.(일요일) 09:00~17:002. 모집인원 : 1명3. 봉사내용- 모라주공 4단지에서 이용자를 만나 사상구장애인복지관으로 이동- 사상구장애인복지관에서 경주 동궁원으로 가는 버스탑승후 경주 동궁원에서 봄 나들이 참가- 봄나들이 종료후 모라주공 401동 801호로 이동하여 자원봉사일지 작성 후 이용자에게 전달4. 봉사장소: 부산 북구 만덕대로 59 (덕천 부민병원)5. 신청방법 : VMS신청, 1365신청6. 문의방법 : 전화문의 (T.051-312-5559)    ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
이미용 자원봉사 해주실 분 찾습니다.,충북,청주시,공통,"충북곰두리체육관 이용 장애인들을 대상으로 이미용 서비스를 진행하고자 합니다.하여 이미용 자격증이 있으신 자원봉사자분들의 재능 기부를 기다리고 있습니다.가능하신 월부터   월 1회  /   09시~ 12시 정도이며,   요일은 월,수,금요일  중에 관계 없습니다. 많은 참여 부탁드려요.^^ 043)216-0031 또는 제 연락처로 전화 주시면 됩니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
홈 토탈 케어 솔루션 “우리집을 부탁해”,부산,북구,공통,"*사업명: 홈 토탈 케어 솔루션 “우리집을 부탁해”*모집대상: 구포동 또는 북구에 거주 중인 대학생 또는 일반인 누구나*모집인원: 1~2명*활동내용: 정리수납전문가와 가정방문을 통해 주거환경 개선 및 정리정돈 방법을 숙지하고, 실시. (사후 모니터링 포함)*활동기간: 4~11월, 월 2회 봉사(1회기 당 3~4시간)*담당자: 박지은 사회복지사 070-4825-8414※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
동대문노인종합복지관 재가복지사업 봉사자 모집 ,서울,동대문구,공통,"[동대문노인종합복지관에서는 재가복지사업 자원봉사자를 모집합니다]- 봉사일시 : 2019. 4.~12. 09:00~18:00 / 활동기간, 활동시간 자율 조정가능- 봉사장소: 동대문노인종합복지관 내- 봉사내용 : 재가복지사업 대상자 어르신 유선상담(안부확인 등)- 봉사자유형 : 고등학생 이상- 봉사문의 : 070-5068-0734, 김진효사회복지사★★사전 전화 상담 필수(담당자와의 스케줄조정 없이 기관 방문 시 당일 봉사는 절대불가함, 상담가능 시간 평일 09:00~18:00/토,일 상담 불가)★★봉사신청 후 070-5068-0734로 연락하여 ""vms에서 모집 확인"" 하셨다고 알려주세요!비밀번호등록담당자김진효※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
재가장애인 탁구 자조모임 보조 정기 자원봉사자 모집(안양시관악장애인종합복지관) ,경기,안양시,공통,"* 일시: 4/23, 5/7, 5/21. 6/4, 6.25 (화요일) 오후 - 14:30~17:00 (주 1회) / 복지관에서 2시30분에 탁구장으로 출발 후 5시에 복지관으로 귀관* 장소: 복지관 및 외부 탁구장  * 봉사내용 : 재가장애인 대상 탁구 자조모임 프로그램 보조(탁구치기)  * 모집인원: 대학생 및 일반봉사자(1회성 봉사자 제외) / 탁구가능자* 4회 이상 참여가능하신분만 신청바랍니다 * 오기로 한 봉사자가 연락없이 오지 않을 경우 프로그램에 지장이 있으므로 책임감을 가지고 봉사 신청 및 봉사 참여 해주시길 부탁드립니다* 봉사신청하시고 070-4838-1723(이동혁 사회복지사)로 반드시 전화주세요 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
어버이날 포장박스 만들기 봉사자 모집,대구,북구,공통,어버이날 포장박스 만들기 - 활동내역 : 어버이날 포장박스에 감사글과 그림 그리기 - 활동일자 : 4월11일 - 4월19일 - 활동시간 : 09:00 - 18:00 이내    원하는 시간을 사전 사무실 전화연락을 통해 정해주시면 됩니다 - 담당자 : 박선추(053-959-8310)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
나들이 봉사자 모집,인천,미추홀구,공통,"☆ 봉사일시 : 4/24(수) 9시-17시(8H +＠)☆ 봉사장소 : 한국민속촌☆ 출발장소 : 미추홀종합사회복지관(주안역4번출구)☆ 집결시간 : 08시 50분까지 모여서 사전교육 후 출발☆ 내      용 : 직원 및 자원봉사자 1인당 어르신 5명이 한팀이 되어 민속촌을 관람하며 민속촌 곳곳의 포토스팟에서 사진도 찍고, 민속촌 캐릭터들과 즐거운 시간을 보내고 오는 봉사입니다^^맛있는 점심식사도 하고 꽃구경도 하며 바람도 쐴겸 봉사시간이 당장 많이 필요하신분은 하루만에 봉사시간을 왕창 채울 수 있는 기회니, 화사한 꽃이 만개하는 봄♥ 저희와 하루동안 즐거운 추억을 만들고 싶은 분은 신청 후 전화주세요^^  ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
'진수맘찬' 밑반찬 배달 자원봉사자 모집 ,충남,당진시,공통,1. 봉사일자 : 2019-04-18~2019-12-312. 봉사장소 : 당진북부권역3. 봉사내용 : '진수맘찬' 밑반찬 배달 자원봉사자 모집※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
{나눔센터} 시각장애인 산행보조 봉사자 모집,서울,구로구,공통,☆시각장애인 산행보조  봉사자모집☆■ 프로그램명:  시각장애인 산행보조프로그램■봉사진행일자 :  마지막주 수요일(매주  진행되는 시간은 변동될예정 입니다)■프로그램진행장소: 경기 수도권  인근산■봉사내용: 시각장애인 산행보조 및 시각장애인이동지원■모집인원: 무제한*우대사항*1) 산에관심있는분2)장애인에대한 인식강하신분3)산을좋아하는분4) 봉사신청전  사전 전화필수!5)봉사를좋아하는분※아주 중요한  사항※1)  공휴일  및  센터행사  센터휴무일경우  스케쥴변동될수있음 2)산에관심있는분3)신청전 꼭 연락주세요ㅡ신청 및  문의사항구로나눔장애인자립생활센터  윤지원복지사Hp) 010-5834-0233※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
일일 나들이 봉사자를 모집합니다,서울,구로구,공통,미소들주야간보호센터에서 일일나들이에 함께 가실 봉사자를 모집합니다.날짜 : 2019년4월25일(목)시간 : 오후12시~16시까지장소 : 신월IC부근 서서울호수공원내용 : 어르신들과 1:1 매칭되어 휠체어 이동도움자격요건 : 어르신들을 배려하는 마음과 산책을 함께 할수 있는 튼튼한 신체 보유자. ^^ ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
"어르신 도시락 만들기 ""무지개밥상""",부산,동래구,공통,"동래종합사회복지관 지역사회조직팀에서는 아래와 같이 ""어르신 도시락 만들기 무지개밥상"" 프로그램의 자원봉사자를 모집합니다.1. 사업명 : 어르신 도시락 만들기 ""무지개밥상""2. 활동일시 : 2019. 04. 20.(토) 10시~12시3. 활동내용 : 간단한 도시락을 제작하여 지역 내 소외계층 어르신들 가정으로 직접 전달함.4. 모집인원 : 10명~20명(※가족단위나 단체도 활동 가능합니다.)5. 문의 : 070-8897-8847 변여은 사회복지사※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
어르신 봄나들이 활동보조 봉사자 모집합니다,서울,서초구,공통,"까리따스방배종합사회복지관에서 사례관리 및 보호서비스 어르신(취약계층) 봄 나들이 활동 보조 봉사자를 모집합니다.1. 일시 : 2019년 4월 25일 목요일 8시 30분 ~ 18시2. 장소 1) 집결 → 까리따스방배종합사회복지               (서울 서초구 남부순환로 2124)  2) 나들이 장소   - 민머루 해변 : 인천광역시 강화군 삼산면 매음리   - 물레방아 식당(점심식사) : 인천광역시 강화군 삼산면 삼산남로828번길 26   - 아르미애월드 : 인천광역시 강화군 불은면 중앙로 742-23. 모집인원 : 10명4. 모집대상 : 대학생, 휴학생, 직장인5. 활동내용 : 나들이 진행 시 어르신 관람, 체험활동 등 보조, 어르신들의 말벗 역할 수행, 거동이 불편한 어르신, 장애인 등에게 휠체어 동행 어르신 봄나들이를 위해 많은 지원 부탁드립니다~^^!!문의사항은 02-522-6004 김영은 사회복지사 로 문의 주시기 바랍니다. 감사합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[노원구건강가정다문화가족지원센터] 너나들이기자단 멘토모집,서울,노원구,공통,"노원구건강가정다문화가족지원센터에서는 다문화자녀성장지원사업의 일환인 너나들이 기자단 대학생 멘토를 모집합니다.1. 프로그램명 : 너나들이기자단2, 일         시 : 2019년 4월 20일(토)_1회기/ 5월-9월(토요일)2회기-8회기 4/20(토) 첫 회기 진행 후 이후 5월-9월 일정이 정해집니다. 총 8회기 진행될 예정이며 월 1-2회정도 토요일에 진행됩니다.3. 시         간 : 11:00-14:00(12:00-15:00)4. 장         소 : 노원구건강가정다문화가족지원센터 교육실 및 외부5. 내         용 : 대한민국임시정부수립 100주년 기념 3.1운동 관련 역사신문 만들기6. 담    당   자 : 신해옥 070-4613-0631  * 서울시 다문화가족 지역특성화사업 지원으로 진행되는 사업입니다 *.다문화자녀(4-6학년) 1명, 비다문화자녀(4-6학년) 1명, 대학생 멘토 1명, 총 3명이 한 팀을 이루어서대한민국 역사박물관, 서대문형무소 등 3.1운동 관련 조사 및 취재를 진행 후역사신문 만들기를 진행합니다.4월-9월 총 8회기 진행예정이며, 첫 회기는 4/20(토)에 진행됩니다.첫 회기 진행 시 이후 일정에 대해 서로 협의하여 진행 될 예정입니다.멘토로 참여 하시면 자원봉사 시간 및 소정의 멘토활동비가 지급 될 예정입니다. 궁금하신 점은 문의주세요!※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
장애인 행복 나들이 자원봉사자  모집,부산,북구,공통,"덕천종합사회복지관에 장애인 행복나들이를 함깨해주실 자원봉사자를 모집합니다 :)1. 봉사일자 : 2019-04-30 오전 8시 30분 ~ 오후 6시2. 봉사장소 : 전라남도 순천 일대(순천만국가정원, 드라마세트장)3. 봉사내용 : 장애인 행복 나들이 진행 보조많은 신청 부탁드립니다~ 신청하실때 전화 문의 꼭 해주세요!! 051-331-4674 석주은 사회복지사※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
<옥수재가노인지원센터> 어버이날기념 가정방문 봉사자 모집,서울,성동구,공통,"옥수재가노인지원센터에서는 어버이날기념 물품전달과 관련하여 가정방문 및 말벗자원봉사자를 모집합니다.센터에서 준비한 카네이션화분 및 식료품을 지참, 어르신가정에 방문하여 전달해주시고 더불어혼자 계시는 어르신들을 위해 말벗서비스를 진행해주시면 됩니다.비정기 봉사로 한 번에 1~2가정 방문 될 예정입니다.자원봉사 기간: 2019.4.29.(월)~5.8(목) 원하시는 날 정해서 알려주시면 됩니다.(평일만 가능)장소: 성동구 지역(어르신 가정)모집인원: 총 00명많은 관심과 참여부탁드릴게요 : )옥수재가노인지원센터 천영주 070-8110-3830* 모집글 상시 확인이 어려워 문의 및 신청은 전화로 부탁드릴게요~~※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
밑반찬 배달봉사,강원,춘천시,공통,1. 봉사일자 : 2019-04-12~2019-12-312. 봉사장소 : 춘천북부노인복지관 인근(우두동)3. 봉사내용 : 밑반찬 배달봉사4. 활동시간 : 10:00-11:00춘천북부나눔재가노인센터에서 밑반찬 배달 봉사자를 모집합니다.우두동 지역의 어르신들께 배달하는 활동으로 자차를 소유하신 분들의 많은 관심 바랍니다. 활동 기간은 담당자와 상의 후 조율 가능하오니 연락 바랍니다.문의 및 신청) 춘천북부노인복지관 김희란 사회복지사 033-255-9877 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[원주가톨릭종합사회복지관] 어르신 나들이 보조,강원,원주시,여,원주가톨릭종합사회복지관에서는 어르신 나들이 보조 봉사자를 모집하고 있습니다.- 활동 기간 : 2019년 4월 19일 13시~17시- 활동분야 : 어르신 나들이 보조- 봉사장소 : 원주시 허브팜 (복지관에 집결 후 차량이동 예정)- 봉사대상 : 65세 이상 여자어르신 5~6명- 모집인원 및 성별 : 여자 봉사자 2명 * 문의 및 신청 : 원주가톨릭종합사회복지관 서비스제공팀 최광수 사회복지사 (033-744-6617) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
프로그램 보조,서울,종로구,공통,1. 봉사일자 : 2019-04-11~2019-06-202. 봉사장소 : 청운양로원3. 봉사내용 : 프로그램 보조※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
