제목,지역,소분류,성별,내용
[긴급] 영유아 아이돌봄 지원,서울,중랑구,공통,일시: 2019년 4월 17일(수) 10:00~12:00장소: 중랑구건강가정지원센터(중랑구 용마산로 369)활동내용: 부모교육 진행 시 영유아 아이돌봄긴급하게 모집하고 있으니 많은 관심과 참여를 부탁드립니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
센터 청결활동 봉사자 모집,서울,송파구,공통,1. 봉사일자 : 2019-04-19(금) 13시~17시(4시간)2. 봉사장소 : THE채움장애인주간보호센터(서울시 송파구 위례광장로 200 위례아이온스퀘어 9층)3. 봉사내용 : 센터 청결활동 (장애인들이 이용하는 공간을 청소하는 것입니다.)4. 비      고 : 문의는 문자로 주시면 답변드리겠습니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[사랑의달팽이]우편발송 업무 봉사자 모집(4/22),서울,중구,공통,"[사랑의달팽이]우편발송 업무 봉사자 모집(사)사랑의달팽이는 청각장애인에게 인공달팽이관 수술 및 보청기를 지원하고그 이후 소리를 듣게 된 아이들의 재활을 위해 클라리넷앙상블연주단을 운영하며사회적응지원과 대중들의 인식개선사업을 하고 있는 비영리단체입니다.(사)사랑의달팽이에서 우편발송 작업을 도와주실 봉사자를 모집합니다.* 봉사일시 : 2019. 04. 22.(월) 10:00~18:00_8시간 (점심식사 제공)* 봉사장소 : 사랑의달팽이 사무국 (약수역 10번출구)* 주소 : 서울특별시 중구 동호로15길 27, 종하빌딩 A동 1층 사랑의달팽이* 봉사업무 : 우편발송을 위한 간단한 작업 봉사* 문의사항은 사랑의달팽이(02-541-9555/070-4322-4137)으로 연락주시기 바랍니다.* 봉사신청해주시면 확인연락을 드리겠습니다. 꼭 답변 부탁드립니다.^^  ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[한국시각장애인복지관] 시각장애인과 함께 걷는 동행 봉사활동,서울,광진구,공통,"<2019년도 건강걷기활동 동행 자원봉사자 모집> 한국시각장애인복지관에서는 재가시각장애인을 대상으로 평소 운동량이 부족한 시각장애인에게‘건강걷기 활동’을 통하여 건강하고 활력 있는 삶을 제공하고자합니다이에 건강걷기활동에 동행해 주실 자원봉사자분을 모집합니다. 1. 봉사기간 : 2019년 4월 26일(금)2. 봉사시간 : 13시30분~16시00분(끝나는 시간 변동 있음)3. 봉사장소 : 아차산역 4번출구 개찰구(실내) 4. 모집인원 : 4명5. 모집대상- 시각장애인과 함께 걷기 활동에 관심이 있는 분6. 봉사내용 : 시각장애인 걷기활동 진행 보조7. VMS 신청 후 담당자가 개별 연락드립니다. 개별 연락 후 최종선정여부를 안내드립니다(문자, 전화)담당자: 한국시각장애인복지관 권영민담당자 연락처: 010-3212-2899, 02-440-5333담당자 이메일: ky871222@hsb.or.kr※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[서울청소년수련관] 대학생 자원봉사단 '예그리나' 3기 단원 모집,서울,중구,공통,1. 봉사일자 : 2019-04-15~2019-12-312. 봉사장소 : 서울청소년수련관 및 서울 지역3. 봉사내용 : [서울청소년수련관] 대학생 자원봉사단 '예그리나' 3기 단원 모집4. 활동일정:  - 오리엔테이션 : 2019년 4월 27일(토) 10:00-13:00  - 매월 넷째주 토요일 (연 10회)  - 상세 일정 아래 공식 홈페이지 참조5. 접수방법아래 공식 홈페이지 첨부문서(참가신청서) 작성 후 이메일 접수 ( ajc9012@nate.com)http://www.youthc.or.kr/community/bprogram.asp?temp=view&idx=8893&code=youth_program&page=16. 문의  전화 : 02-2267-2111  카카오톡 : ajc9012※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[세이브더칠드런] 신생아살리기 캠페인 모자 정리(박스포장) 자원봉사자 모집,서울,마포구,남,"안녕하세요.전 세계 120여개 국가에서 아동 권리를 옹호하고, 실현하기 위해 활동하는 국제구호개발 NGO, 세이브더칠드런입니다.'신생아살리기 캠페인 시즌12'를 통해 수거된 모자를 아프리카 코트디부아르로 보내기 위한 모자 박스 포장 작업을 도와주실 자원봉사자를 모집합니다.※ 신생아살리기 캠페인?2007년 부터 '신생아살리기 모자뜨기 캠페인'으로 시작, 일교차가 큰 국가(지역)의 신생아에게 직접 뜬 모자를 보내는 국내대표 참여형 캠페인입니다.직접 뜬 모자는 아기들의 체온을 2℃ 정도 올려주고, 면역력을 증가시켜 아기들이 앞으로 건강한 삶을 살아가는데 도움을 줍니다.참여자분들이 보내주신 모자는 해당 지역의 신생아에게 전달되며, 모자와 함께 산모와 아기를 위한 필수 의약품, 산전/후 검진 등을 지원합니다.1. 일시 : 2019년 4월 20일(토), 오전10-17시2. 내용 : 신생아살리기 캠페인 모자 박스 포장 및 정리 작업- 주 활동 : 모자를 상자에 담아 테이핑(포장)하는 작업- 기타 : 모자를 속봉투에 담아 상자에 넣는 작업 등3. 모집인원 : 선착순 00명(박스를 포장하고 나르는 작업이 많으므로 이 점 고려하여 신청해주시기 바랍니다.)4. 신청방법 ★ 신청 즉시 확정되는 것은 아니며, 확정문자를 받아야 신청 완료입니다. ★(1) VMS를 통해 자원봉사 신청(2) 확정문자를 받으면 신청 완료※ 확정문자(확정한 당일 발송) 및 안내문자(봉사활동 전날)를 발송해드립니다. ※5. 기타- 점심식사를 제공합니다.- 자원봉사활동 확인증 발급됩니다. (VMS)기타 문의사항이 있으신 경우 아래의 연락처 및 이메일로 문의주시기 바랍니다.전화 : (02) 2126-4352 (평일 오전9-18시, 점심시간12-13시 제외)이메일 : moja@sc.or.kr관심있는 분들의 많은 참여를 부탁드립니다.감사합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[풍납종합사회복지관]어르신과 함께하는 봄나들이 봉사자 모집,서울,송파구,공통,"어르신과 함께하는 ‘안성팜랜드’ 봄 나들이!거동이 불편한 어르신들이 함께 나들이를 갈 수 있도록 여러분의 많은 관심을 기다리고 있습니다.1. 코스 : 풍납종합사회복지관(출발) - 담양 석갈비(점심식사) - 안성팜랜드(관광) - 풍납종합사회복지관(복귀)2. 봉사일시 : 2019.04.26.(금) 9:30 집결 - 18:303. 봉사내용 : 거동불편 어르신 휠체어 부축하여 나들이 장소 관람4. 봉사모집인원 : 3명* 문의 : 풍납복지관 이수민 사회복지사 02-474-1201(자리에 없으면 메모 남겨주시면, 답드릴게요~!)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
오산남부청소년문화의집 청소년방과후아카데미 피아노 반주자 자원봉사 모집,경기,오산시,공통,"안녕하세요, 오산남부청소년문화의집 청소년방과후아카데미입니다.2019년 5월 25일 방과후칸타빌레 합창대회 반주자를 찾습니다.5월 25일 합창대회를 준비하기 위하여 매주 월요일 오후 18시 20분~ 19시 20분, 목요일 오후 3시 30분 ~ 4시 30분(1시간) 연습이 있습니다.월요일 또는 목요일 가능하신 요일에 반주해주실 반주자 분을 찾습니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
꿈을주는과일 포장 행사 자원봉사자 모집!,서울,강남구,공통," <과일지원사업 ‘꿈을주는과일’ 자원봉사 모집>꿈을주는과일재단에서는 저소득층 아이들을에게 매달 제철과일이 들어간 꿈을주는과일을 선물하고 있습니다.  재단과 함께 이 꿈을주는과일상자를 포장해주실 자원봉사자를 모집합니다.준비된 과일을 차례차례 상자에 넣으면 되는 간단한 업무 입니다. 자세한 내용은 꿈을주는과일재단 홈페이지에서 확인하실 수 있습니다.*봉사 일시- 2019년 4월 25일(목) 12:30~16:30*봉사내용 : 아이들에게 선물할 과일을 담아 포장하는 활동입니다.*봉사 장소 :꿈을주는과일재단 사무실 집합 후 구리농수산물 도매시장으로 이동하여 과일 포장 -> 활동 후 재단 사무실로 복귀하여 마무리*재단 주소 : 서울시 강남구 밤고개로 21길 71 명품빌딩 3층- 수서역 부근 재단사무실에서 사전 교육 후, 행사장으로 함께 이동합니다.(30분 소요/재단차량이용)- VMS를 통해 신청하시면, 담당자가 확인연락 드립니다.- 더 자세한 내용은 재단홈페이지(www.dreamfruit.org)를 참고하세요.- 문의 있으신 분께서는 전화나 메일로 연락주세요.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[굿네이버스 경기구리남양주]구리시유채꽃축제 아동권리옹호캠페인 진행 봉사자자 모집,경기,구리시,공통,[구리시유채꽃축제 아동권리옹호캠페인 진행 봉사자 모집]-내용: 굿네이버스 아동권리옹호캠페인-기간: 2019년 5월 10일~2019년 5월 12일-시간: 10:00~18:00 (부분 참여 가능)-활동내용: 캠페인 부스 설치 및 운영                구리시유채꽃 축제 참여 시민들을 대상으로 아동권리옹호캠페인 내용 설명-신청방법: [구리시유채꽃축제 캠페인 참여/이름/나이/성별/활동가능일/시간] 작성하여 010-8599-9806 문자 신청-담당자: 굿네이버스 좋은마음센터 경기구리남양주 이혜수 간사(031-524-9922) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
화성시 위기가정 sos기금마련을 위한 나래울 봄더하기 축제 자원봉사자 모집 ,경기,화성시,공통,"안녕하세요?나래울종합사회복지관에서는 화성시 위기가정 sos기금마련을 위한 나래울 봄 더하기 축제를 기획하였으며, 행사를 함께 운영해주실자원봉사자를 모집합니다. 지역주민 여러분들의 많은 관심과 참여 부탁드립니다,1. 행사일시 : 2019년 4월 27일(토) 9:00-16:002. 봉사활동 : 먹거리 판매, 바자회 판매, 체험부스 및 기타 행사 보조3. 봉사대상 : 대학생, 성인 자원봉사자(*아동, 청소년 자원봉자는 제외합니다.)4. 문      의 : 지역조직팀 031-8015-7410※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
화성시 위기가정 sos기금마련을 위한 나래울 봄더하기 축제 자원봉사자 모집 ,경기,화성시,공통,"안녕하세요?나래울종합사회복지관에서는 화성시 위기가정 sos기금마련을 위한 나래울 봄 더하기 축제를 기획하였으며, 행사를 함께 운영해주실자원봉사자를 모집합니다. 지역주민 여러분들의 많은 관심과 참여 부탁드립니다,1. 행사일시 : 2019년 4월 26일(금) 9:00-16:002. 봉사활동 : 먹거리 판매, 바자회 판매, 체험부스 및 기타 행사 보조3. 봉사대상 : 대학생, 성인 자원봉사자(*아동, 청소년 자원봉자는 제외합니다.)4. 문      의 : 지역조직팀 031-8015-7410※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"[체인지메이커] 소외계층에게 선물 할 핸즈온 물품 포장, 분류 및 수선봉사 ",서울,양천구,공통," 안녕하세요. 사회복지단체 사단법인 체인지메이커입니다.저희는 '우리 이웃 모두가 행복할 수 있도록 우리부터 변하겠습니다'라는 모토로 결손가정, 독거노인을 위한 나눔활동을 하고 있습니다.저희 단체에서는 매달 우리주변 소외계층 이웃들에게 핸즈온 물품을 선물하고 있습니다.이번 나눔활동은 체인지메이커에서 진행하는 핸즈온 물품 포장 및 완성된 핸즈온 물품 분류, 수선 작업을 할 예정입니다.추가로 외부행사 물품 정리와 서류 정리하는 봉사활동도 함께 진행할 예정입니다.일정은 4월 19일 금요일 오후 13시부터 17시까지 총 4시간 진행입니다.따뜻한 마음으로 봉사에 참여해주실 봉사자분들을 기다리겠습니다.문의가 있으신 분들은 체인지메이커 홈페이지나 02)6925-6789 또는 010-4477-8412를  통해 연락 주세요.신청해주신 봉사자분들에게 담당자가 직접 문자 또는 전화를 드리고, 봉사활동이 결정되신 분들께는 최종적으로 다시 연락을 드리겠습니다.(신청하셨다고 무조건 오셔서 봉사할 순 없습니다. 연락없이 오시면 힘들게 오셨는데 다시 돌아가실 수 있습니다. 회신은 4월 18일 목요일 오후3시까지 드리겠습니다.)감사합니다.(주소 : 서울 양천구 목동남로2길 25, 서원빌딩 3층 사단법인 체인지메이커)  ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[창원성산종합사회복지관]어르신 요리프로그램 대학생 정기봉사자 모집,경남,창원시,공통,"마을의 작은 향기 창원성산종합사회복지관입니다. 남성 어르신과 대학생 친구들이 맛난 점심 한 끼 만들어 먹는 모임입니다. 4월부터 시작해서 한 달에 한 번 장도 보고, 이야기도 나누고, 음식도 만들고, 맛있게 식사하려고 합니다. 어르신과 정 나누며 함께 해주실 대학생 여러분의 신청 부탁드립니다. 활동기간: 4월~11월 두 번째 토요일 9시~13시(월 1회) 모집대상: 웃음 많고, 정 많은 대학생분들 신청방법: 070-8856-5482 전화로 신청 부탁드립니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[기아대책] 행복한나눔 문래점 자원봉사 모집,서울,영등포구,공통,"기아대책 (재)행복한나눔 문래점 자원봉사를 모집합니다.기아대책 행복한나눔은 개인과 기업의 기증품을 판매하여 그 수익금으로 국내외 소외된 이웃을 돕는 사회적기업입니다.1. 모집분야: 나눔가게 문래점 매장 자원봉사2. 봉사내용: 매장 물품 판매 및 정리정돈과 매니저 업무보조3. 모집인원: 00명4. 봉사시간:  10:00 - 19:00 (월요일 ~ 금요일) , 정기/ 비정기 모집.  5. 지원기간: 상시 모집.            6. 위치: 서울시 영등포구 문래로 77 (2호선 문래역 도보 10분)7. 지원방법:  VMS 접수 신청, 전화 ( 02-2085-8309 / 8237)                  *별도의 지원양식은 없으며 [문래점 자원봉사] 제목으로 성함과 연락처 남겨주세요. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
문화체험활동(불국사) 진행시 응급상황 대처 인력모집,부산,사하구,공통,ㅇ 모집내용 : 사하구종합사회복지관 노인일자리사업 문화체험활동(불국사) 응급상황 대처 자원봉사자 모집ㅇ 모집인원 : 1명ㅇ 활동기간 : 2019년 4월 20일 (토)ㅇ 활동시간 : 8시 20분 ~ 17시ㅇ 활동장소 : 사하구 감천2동 집결 - 경주 불국사 활동 -  감천2동 해산ㅇ 활동내용 : 응급상황 대처 * 점심식사 및 간식 제공ㅇ 지원방법 : vms 사이트 자원봉사 신청 or 전화※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
꿈을주는과일재단 과일포장행사 자원봉사자 모집!,서울,강남구,공통," <과일지원사업 ‘꿈을주는과일’ 자원봉사 모집>꿈을주는과일재단에서는 저소득층 아이들을에게 매달 제철과일이 들어간 꿈을주는과일을 선물하고 있습니다.  재단과 함께 이 꿈을주는과일상자를 포장해주실 자원봉사자를 모집합니다.준비된 과일을 차례차례 상자에 넣으면 되는 간단한 업무 입니다. 자세한 내용은 꿈을주는과일재단 홈페이지에서 확인하실 수 있습니다.*봉사 일시- 2019년 4월 25일(목) 12:30~16:30*봉사내용 : 아이들에게 선물할 과일을 담아 포장하는 활동입니다.*봉사 장소 :꿈을주는과일재단 사무실 집합 후 구리농수산물 도매시장으로 이동하여 과일 포장 -> 활동 후 재단 사무실로 복귀하여 마무리*재단 주소 : 서울시 강남구 밤고개로 21길 71 명품빌딩 3층- 수서역 부근 재단사무실에서 사전 교육 후, 행사장으로 함께 이동합니다.(30분 소요/재단차량이용)- VMS를 통해 신청하시면, 담당자가 확인연락 드립니다.- 더 자세한 내용은 재단홈페이지(www.dreamfruit.org)를 참고하세요.- 문의 있으신 분께서는 전화나 메일로 연락주세요.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
장애어린이날행사 자원봉사자 모집,경남,창원시,공통,"저희 기관에서 준비중인 장애어린이날행사 자원봉사자를 모집합니다.행사에서 진행하는 부스체험, 주차관리, 안전관리 등 다양한 부분에 봉사자 분들이 필요합니다.봉사기간: 5월 11일 (토)봉사시간: 11:00~16:00봉사장소: 창원 마산종합운동장 실내체육관점심식사는 제공됩니다.봉사 신청 후, 2일이내로 연락이 가지 않으면 사무국으로 연락을 주시기 바랍니다.(사무국과 연락이 안되신 분은 봉사에서 누락될 수 있으니 '필히' 연락바랍니다. 070-7774-3740)(사)느티나무창원시장애인부모회※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
간단한 전화 작업,서울,마포구,공통,활동내용 : 우편물이 반송된 회원들 대상으로 한 어렵지 않은 전화작업입니다.일시 : 시간과 날짜는 협의하에 진행 가능합니다!봉사 장소 : 서울시 마포구 월드컵로 26길 39 시민공간나루 2층신청해 주세요~!※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
