제목,지역,소분류,성별,내용
대구북부노인보호전문기관 - 학교교육 봉사자 모집(대구북중학교),대구,북구,공통,"대구북부노인보호전문기관 - 학교 교육 자원봉사자 모집 대구북부노인보호전문기관에서 학생들을 대상으로 직업탐색 및 노인유사체험 교육을 실시하고자, 자원봉사자를 모집합니다.- 봉사일시 : 2019.04.29.(월) 13:00~14:00(1시간)- 모집인원 : 4명- 봉사장소 : 대구북중학교(대구광역시 북구 공항로 50)- 봉사활동 : 직업탐색 및 노인유사체험 교육 보조- 문      의 : 053-357-1389, 010-4357-1389(자원봉사 담당자 안시온)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
대구북부노인보호전문기관 - 학교교육 자원봉사자 모집(침산중학교),대구,북구,공통,"대구북부노인보호전문기관 - 학교 교육 자원봉사자 모집 대구북부노인보호전문기관에서 학생들을 대상으로 직업탐색 및 노인유사체험 교육을 실시하고자, 자원봉사자를 모집합니다.- 봉사일시 : 2019.04.18.(목) 10:40~12:40(2시간)- 모집인원 : 4명- 봉사장소 : 침산중학교(대구광역시 북구 침산남로 121)- 봉사활동 : 직업탐색 및 노인유사체험 교육 보조- 문      의 : 053-357-1389, 010-4357-1389(자원봉사 담당자 안시온) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
★★지역 내 어르신들 핸드폰 및 스마트폰 교육 봉사자를 구합니다!!★★,광주,북구,공통,"지역 내 어르신들을 대상으로 스마트폰 및 일반 핸드폰 사용법에 대한 교육을 실시하고자 합니다 (핸드폰 전원 켜고 끄기 부터~ 카카오톡, 문자 사용법 등)매월 2째주 4째주 수요일 오후 2시~4시까지 지역 내 경로당에서 활동하실분 접수부탁드려요^^  (단체라면 활동시간 변동 가능) 시민종합사회복지관 (광주광역시 북구 양일로 76-1) 김태정 선임사회복지사 ☎ 070-5101-9989   -** 전화로 문의 및 접수부탁드립니다**※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
4월 무지개도서관 녹음도서 모니터링 봉사자 모집,충북,청주시,공통,"무지개도서관에서는 시각장애인의 독서활동 증진을 위해 일반도서를 대체자료(녹음도서)로 제작하여 보급하고 있습니다.이에, 아래와 같이 4월 녹음도서 모니터링 봉사자를 모집하오니 많은 관심과 참여 바랍니다.                   - 아 래 -1. 봉사명: 무지개도서관 녹음도서 모니터링 작업2. 봉사장소: 교육 수료 후 재택 가능3. 교육일시: 2019년 4월 17일 수요일 오후 1시 30분~4. 교육장소: 충북종합사회복지센터 505호 무지개도서관 내 교육장(청주시 흥덕구 공단로87)5. 모집기준: 컴퓨터 활용 가능자, 성실, 책임6. 기타문의: 043-237-5544* 녹음도서 모니터링 봉사는 녹음된 파일을 책과 대조하며 잡음제거 및 편집, 오독, 누락된 부분을 체크하는 작업으로 꼼꼼하고, 책을 좋아하는 봉사자 누구나 가능합니다.* 신청을 희망하시는 경우 VMS 신청 또는 무지개도서관 홈페이지(http://www.7rainbow.or.kr) 공지사항을 참고하여 신청서를 메일로 보내주시면 개별 연락드리겠습니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
함현상생종합사회복지관 휴마을카페 자원봉사자 모집,경기,시흥시,공통,함현상생종합사회복지관에서 휴마을카페 자원봉사자를 모집합니다.휴마을카페는 복지관 이용자들이 이야기를 나눌 수 있는 공간 및 쉼터가 되는 목적을 갖고 있는 사업으로 복지관 내 1층에서 매주 월~금요일까지 09:00~17:00까지 운영되고 있습니다.근무요일 및 시간월~금평일 오전 09:00~13:00평일 오후 13:00~17:00 중 협의※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
"재능기부자 모집(풍선아트,전래놀이,클레이아트,창의과학,기타등등)",서울,성동구,공통,"1. 봉사일자 : 2019-04-15~2019-08-312. 봉사장소 : 성동구 행당동 스위첸아이꿈누리터3. 봉사내용 : 재능기부자 모집(풍선아트,전래놀이,클레이아트,창의과학,기타등등)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[송파구방이복지관] 사진 교육 자원봉사자 모집,서울,송파구,공통,"송파구방이복지관에서는 성인장애인 사진 동호회 프로그램을 운영함에 따라, 사진 기술 교육 자원봉사자를 모집합니다.많은 관심과 참여 부탁드립니다.-일시: 4월~12월(월 1~2회 금요일 13:00~15:00)-장소: 송파구방이복지관-대상: 성인장애인-내용: 카메라 조작법, 사진 촬영법 등 교육※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[중랑노인종합복지관] 4~11월 복지관 홍보 컨텐츠 제작 서포터즈 모집합니다.,서울,중랑구,공통,"안녕하세요!가치와 감동으로 어르신을 섬기는 이랜드복지재단 시립중랑노인종합복지관입니다.저희 복지관에서 활동해주실 대학생 홍보 서포터즈 자원봉사자를 모집하고 있습니다. 1.봉사일시: 2019년 4월 ~ 11월 (주 1회 활동)2.봉사장소: 중랑구 내, 복지관3.봉사내용: 복지관 홍보 컨텐츠 제작활동, 1/3세대 공감 컨텐츠 제작활동 (영상촬영 및 유튜브 업로드)(홍보 관련 전공 대학생(휴학생) 우대합니다. 봉사 시간 인정 및 꾸준히 활동해주신 서포터즈에게 소정의 활동비 지원,중랑노인복지관 서포터즈 수료증을 발급해드립니다.)4.모집인원: 5명 *VMS 신청 후 복지관으로 바로!! 전화 부탁드립니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
임가공 작업보조,부산,사상구,공통,안녕하십니까.행복이 넘치는 사상구 한마음직업재활원입니다.저희 재활원에서는 근로장애인의 임가공 작업지원 및 보조인력 자원봉사자를 모집하고 있습니다.어렵지 않은 단순 임가공 작업이므로 누구든지 쉽게 도와주실 수 있습니다.전화로 사전에 연락주시고 내방해주시면 감사하겠습니다.업무시간은 평일 오전 09시부터 18시 까지입니다.(점심시간 '12:60~13:30' 1시간 제외 하루 최대8시간)상황에 따라 업무내용 및 작업량에 변동이 있을 수 있어 꼭 미리 연락주시고 방문해 주시기 바랍니다.^^(특별활동 진행 시 자원봉사가 어려울 수 있습니다. 꼭 미리 연락주시고 방문해 주세요.)* 오시기전 vms 사이트에 미리 회원가입 해주세요.* 재활원 상황으로 중식 지원이 불가능합니다. 이 점 참고하셔서 자원봉사 신청 바랍니다.궁금하신 점이나 문의사항은 051-325-7300 (담당자 : 강영신) 으로 연락 주십시요.* 신청은 홈페이지보다는 전화로 부탁드립니다. 홈페이지 신청현황을 일일이 확인하기 어렵습니다.* 주말 및 공휴일은 휴무입니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
"이동복지관 재능봉사 모집(이미용, 건강 등)",경남,거제시,공통,"▶ 활동지역: 사등면 가조도, 하청면 칠천도, 거제면 산달도▶ 활동일시 : 매 월 토요일(가조도 2째 주 , 칠천도 º산달도 3째 주) / 일 2~3시간 활동▶ 모집기간: 상시▶ 모집인원: 00명★활동 내용★구 분활동내용피부미용-피부 롤링 및 간단한 피부마사지마사지(손,발)-손, 발 지압 및 마사지네일아트-손톱관리 및 기본 네일이미용(컷트/염색)-컷트 및 염색의료봉사-수지침, 뜸, 등 건강관련 봉사웃음치료, 레크레이션 등-웃음치료, 레크레이션 등국악 등 예술-국악, 노래, 벨리댄스, 판소리 등 다양한 영역의 예술 공연공예/만들기-원예, 토피어리, 천연염색 등 다양한 공예 및 만들기▶문의: 거제시종합사회복지관 지역사회조직팀(055-636-0303)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
호스피스 자원봉사자 모집,서울,중랑구,공통,"호스피스 자원봉사자 모집<지원 기준>- 만 18세 이상 65세 이하의 건강한 분- 호스피스완화의료 관련 교육을 이수하신 분(교육 이수증 또는 수료증 필요)- 주 1회(4시간) 이상의 봉사를 최소 6개월 이상 지속할 수 있는 분   ※ 지원기준 모두 충족하셔야 합니다.  자원봉사 활동 시 혜택점심식사 제공 및 주차장 무료 이용연 50시간 이상 봉사자 무료 독감예방접종연 100시간 이상 봉사자 생일 카드 및 소정의 상품각종 의료원 교육 강좌 수강 등 자원봉사 활동 영역활동 시간 : 월-금 / 오전 09:30-13:30, 오후 12:30-16:30 (주1회, 시간 택일)호스피스 정규봉사재능기부 봉사 (이미용, 사진 촬영, 문화공연, 풍선아트 등) ※ 비정기적, 1회성의 재능기부 봉사자는 교육 이수 여부 관계 없음.※ 봉사동기, 봉사자 배치 현황 등을 고려하여 요일 배치가 이루어집니다.※ 문의 : 서울의료원 호스피스 완화의료센터 담당 사회복지사☎ 02)2276-8129 / aym1414@seoulmc.or.kr* 호스피스 봉사에 대한 많은 관심 부탁드립니다 ^^ ** 신청 후 02-2276-8129로 연락 한 번 주시면 감사하겠습니다 ~ ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
초등학생과 함께하는 나눔교육 보조진행자를 모집합니다!,경기,군포시,공통,"지금까지 이런 봉사는 없었다. 이것이 나눔인가, 행복인가! 「군포시가야종합사회복지관 아동 대상 나눔교육 보조 진행자 모집」초등학생 대상 진행하는 나눔교육 봉사자를 모집합니다!아동을 좋아하는 대학생이라면 누구나 환영 !!나눔교육의 재미와 감동을 느끼시고 싶다면 신청해주세요!*모집 개요- 활동 내용: 아동들의 나눔교육 활동 참여 보조- 활동 시간: 초등학교 1~2교시 (09:00~12:20)- 모집 인원: 5명- 지원 자격: 열정적인 대학생이라면 누구나 지원 가능!* 문의사항- 지역조직팀 임송하 사회복지사(☎031-395-4894) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
한국어교육 봉사자 모집합니다,대구,달서구,여,"1. 봉사일자 : 2019-04-09~2019-06-30/ 매주 화,목,금(14:00~15:00)2. 봉사장소 : 대구북구건강가정다문화가족지원센터3. 봉사내용 : 한국어교육 봉사자 모집합니다중도입국자녀(베트남 학생) 한국어교육 봉사해주실 봉사자 모집합니다.자세한 사항은 센터로 연락주세요.053.327.2994)정용미※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
국립중앙의료원 공공의료사업팀 통역봉사자 모집,서울,중구,공통,"국립중앙의료원 공공의료사업팀 통역봉사자 모집 국립중앙의료원 공공의료사업팀에서 아래와 같이 통역 봉사자를 모집합니다. 1. 활동기간 : 1개월 이상 2. 모집대상 : 외국어 회화 가능자 (몽골어, 영어, 중국어, 러시아어, 아랍어등)※20세 이상 성인봉사자만 가능. 3. 활동시간 : 평일 오전 중 한 파트 선택해서 가능합니다.오전(09:00~12:00) - 목요일, 금요일 4. 활동내용 : 안내데스크에서 외국인 통역안내, 진료통역보조, 일반내원객 안내 등 5. 기타 : 혜택-VMS자원봉사 실적 입력 6. 문의사항은 국립중앙의료원 공공의료사업팀(02-2276-2301)으로 전화주세요. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
노래교실 자원봉사자 모집,경북,포항시,공통,1. 봉사일자 : 2019-04-04~2019-12-272. 봉사장소 : 은빛빌리지3. 봉사내용 : 노래교실 자원봉사자 모집※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
"이,미용봉사자",부산,연제구,공통,"병원에 계셨어 외출이 불가능하신 분들을 상대로 사랑의  이,미용봉사를 해주실 분들을 기다립니다초보자분나 베테랑분들이나 상관없이 오셨어 해주실 분들을 기다립니다사회복지사 직통 번호는 010-5154-2637입니다 많은 문의 바랍니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"[정립회관 주간보호시설] 수지침, 손마사지 자원봉사자 모집 ",서울,광진구,공통,"정립회관 주간보호시설은 지체, 뇌병변 장애인을 대상으로 서비스를 제공하고 있는 주간보호시설입니다.다양한 문화활동과 강사 및 자원봉사자 분들의 신체, 인지 관련 수업으로 시설을 이용하시는 어르신들의욕구를 충족하고 삶의 질을 높여 드리기 위해 노력하고 있습니다.어르신들께 기존 운영되는 프로그램외에 다양한 신체활동을 제공해드리고자 수지침 혹은 손마사지가 가능하신자원봉사자 분을 모집하고 있습니다. 따뜻한 마음과 열정을 지니신 봉사자분의 지원 부탁드립니다~감사합니다 ^^- 봉사장소 : 광진구 워커힐로 93 정립회관 본관 3층 주간보호시설- 봉사대상 : 지체, 뇌병변 장애인 10명- 봉사주기 : 요일 및 날짜 협의 가능- 봉사내용 : 수지침 또는 손마사지 자원봉사- 구비물품 : 수지침, 알콜 솜, 핸드크림, 손소독 청결제  - 문      의 : 기타 문의사항은 02-446-1237로 전화주셔서 주간보호시설 양지인 사회복지사 연결부탁드립니다 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
노래부르기 보조진행자 모집합니다.(에버그린하우스),서울,은평구,공통,"정신재활시설 에버그린하우스 노래부르기 프로그램 보조진행자를 모집합니다. 에버그린하우스는 정신장애인의 적극적인 사회참여를 위한 개별 회원 사례지원 및 전문적인 재활프로그램 서비스를 제공하는 지역사회 정신재활시설입니다.1. 내 용 : 노래부르기 프로그램 보조 진행(전문진행자가 있으며 보조 진행으로 자격요건 무관하며 마음 편하게 오시면 됩니다.)2. 봉사일시 : 모집 시~2019.6.28까지 / 매주 금요일 13:30-15:003. 활동장소 : 에버그린하우스(서울시 은평구 갈현로29길 51, B01호)(3호선 연신내역 도보 15분(마을버스 이용 가능))4. 대 상 : 성인 정신장애인5. 활동혜택 : VMS 자원봉사 시간 등록6. 필요인원 : 0명7. 신청방법 : 유선전화 및 이메일 연락8. 모집기간: 수시9. 문 의 : 김진미 정신건강사회복지사(02-352-0079, ever0079@hanmail.net)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
이주여성 한국어교육,대전,대덕구,여,이주여성에게 한국어를 가르칠 자원봉사자를 구합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
기관 홍보 파일 디자인 재능기부 모집 ,서울,서대문구,공통,안녕하세요. 이화여자대학교 종합사회복지관에서는 기관 홍보 파일을 디자인 할 재능기부자를 모집합니다.1. 활동명: 기관홍보파일 디자인2. 활동일시: 2019년 4월 중 3. 활동내용 : 재능기부를 통한 기관 대표 파일 디자인 활동 4. 활동혜택: vms 봉사시간 인정(10시간)5. 모집인원: 2명6. 신청방법: vms 신청 후 전화접수 *문의전화 및 전화접수: 이화여자대학교 종합사회복지관 지역조직팀 황소명 사회복지사(02-3277-2599) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
뉴스레터 기자 자원봉사자 모집,서울,마포구,공통,"사단법인 위드어스는 해외입양인과 차세대 재외동포를 지원하는 비영리 민간단체입니다.모집분야 : 뉴스레터 기자 자원봉사자 모집지원자격 : 뉴스레터 기사 작성 (한글, 영어 각각)기 간 : 2019년 4월 부터 2019년 12월 중 가능한 분 (이 기간 내 본인이 가능한 기간과 시간에 재택근무로 하면 됩니다.)위 치 : 재택근무, 첫 미팅은 단체 사무실 (지하철 5호선 마포역)혜 택 : 자원봉사 인증서 발급지원방법 : 위드어스 이메일 (withusintl@naver.com) 로 모집분야 제목 보내면 답변으로 신청서를 보내드립니다.문 의 : 이메일로만 가능 withusintl@naver.com (문의전화로 인해 업무에 차질이 많이 발생합니다. 전화응대는 정중히 거절합니다. 꼭! 이메일로 문의해주세요.)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
대자인병원에서 자원봉사자를 모집합니다.,전북,전주시,공통,"사랑합니다. 대자인병원 지역사회소통팀입니다.대자인병원에서 아래와 같이 자원봉사자를 모집합니다. 1. 모집인원 : 일 최대 10명(마감 이 후 신청자는 일정 조율) 2. 봉사내용- 전문봉사 / 정서지원 / 생활지원 / 교육지원 / 공연지원 / 노력봉사 3. 활동시간 : 월~금 오전,오후 / 토 오전오전 09:00~12:00(3시간), 오후 14:00~17:00(3시간)(활동시간 10분 전까지 도착 바람, 평일,토 오전 가능, 활동시간 최소 2시간부터 신청 가능함, 요일별 선착순 모집)4. 자격요건- 자원봉사 활동에 충분한 신체적, 정신적, 건강을 갖춘 사람- 따뜻함과 분별력이 있고 비밀유지가 되며 신뢰감이 있는 사람- 시간과 능력을 제공하여 봉사하기 원하는 사람- 정기적으로(최소 6개월 이상) 봉사활동 가능한 사람 5. 신청 및 문의 : 전화 신청 (대자인병원 지역사회소통팀 063)250-9227)  -> 신청 버튼 눌러도 확인하지 않으니 반드시 전화문의 바랍니다:) 6. 기타 유의사항- 복장 단정 (슬리퍼, 핫팬츠, 치마, 미니스커트, 나시 등 허용 불가)- 머리 단정 (긴 머리는 단정히 묶기)- 봉사 시 휴대폰 사용 자제** 지역사회소통팀 사무실 이전으로 5별관 1층 -> 3별관(피부과 3층) 3층으로 오시면 됩니다. ** * 봉사활동 신청 시 반드시 VMS 가입 필수.* 봉사기간에 표기된 날짜와 상관없이 수시로 봉사활동 모집하고 있으니 참고 바랍니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
장애아동 프로그램 보조,경기,화성시,공통,총 6시간(봉사시간 4시간(10:00~14:00) + 봉사자의 이동시간) - 대상: 뇌성마비 1세 대상 프로그램 보조(전담인력 있음)- 점심 제공※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
한국어 도우미 (영어회화 가능자),서울,마포구,공통,"사단법인 위드어스는 외교통상부 비영리법인으로 해외입양인을 지원하는 비영리 민간단체입니다.현재 한국어학당에 다니고 있는 해외입양인에게 한국어를 가르쳐 주는 일입니다.일반적인 문법을 가르치는 것이 아니라 입양인들에게 필요한 부분에 맞춰서 수업을 하려고 합니다.모집분야: 한국어 도우미지원자격 : 한글교육에 대해 영어로 설명이 가능한 자원봉사자 (초급이라서 단어나 문장을 영어로 잘 설명해주는 것이 핵심입니다)기 간 : 2019년 3월 ~5월 (시간은 오후 1시 이후 서로 협의 가능합니다)위 치 : 입양인과 상의해서 편한 장소를 정하면 됩니다. (스타벅x, 커피x 등)지원방법 : 위드어스 이메일 (withusintl@naver.com) 로 신청메일을 보내면 신청서를 메일로 보내드립니다.문의: 이메일로만 가능 (withusintl@naver.com) 전화문의는 정중히 사절합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"치료학과 선생님 봉사자 모십니다 (물리치료,작업치료학과)",인천,미추홀구,공통,안녕하세요 재활치료 병원입니다.저희 넓고 쾌적한 치료실에서 치료학과 학생 선생님 모십니다.실제적 치료장면 보시고 서포트 해주시면 됩니다.자세한 사항은 직통번호로 문의 부탁드립니다.시간 및 요일은 협의 합니다 (주말제외)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
