제목,지역,소분류,성별,내용
희망배달마차 프로야구관람행사 부스운영보조,대구,수성구,공통,"우리대구사회복지협의회는 4월 26일 ~ 28일간 프로야구관람행사를 진행할 예정입니다.아래의 공지사항을 참고하시어, 봉사에 많은 관심과 신청 부탁드립니다.1. 일시 : 2018년 04일 27일(토) 15:30 ~ 17:002. 장소 : 삼성라이온즈파크 매표소 맞은편 운영부스(대구 수성구 야구전설로 1)3. 대상 : 대구지역 사회복지시설 및 기관 대상자,종사자, 일반 시민4. 내용  가. 홍보부스 세팅 및 설치  나. 홍보부스 운영보조(각종 프로그램 진행보조)  다. 당일 야구 무료관람 지원5. 문의사항 : 010-8625-4256(담당자 : 김성문 사회복지사) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
5월 17일(금) 5·18민중항쟁 전야행사 자원봉사자 모집!,광주,동구,공통,"▶ 행사명 : 제39주년기념 5·18민중항쟁 전야행사(5월 17일)▶ 일시 : 2019년 5월 17일(금)- 봉사활동 결합시간은 하루 8시간 기준으로 오전, 오후로 나눠 담당자 연락을 통해 정합니다.▶ 자원활동 내용 - 제39주년 5·18 전야행사(시민난장, 민주평화대행진, 오월풍물굿, 전야제) 보조 - 5·18기념행사 안내 및 교통통제, 안전관리 등▶ 모집인원 : 선착순 100명(19세~35세)▶ 모집기간 : 2019년 4월 30일(화)까지▶ 봉사인증 : 8시간 (8시간 미만일 경우 활동시간만큼 인증)▶ 기타 - 식사 제공 - 봉사자 기념T 증정 - 자원봉사자 OT 진행 예정'오늘을 밝히는 오월, 진실로! 평화로!' 제39주년 5·18민중항쟁기념행사가 성공적으로 진행될 수 있도록 많은 분들의 참여를 바랍니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[이대복지관] 청소년 진로탐색 및 정신건강증진프로그램 ,서울,서대문구,공통,"이화여자대학교종합사회복지관에서 청소년들의 복지증진을 위하여 학교연계사업을 진행하고 있습니다.아래와 같이 함께해주실 자원봉사자를 모집하고 있습니다.*모집분야 : 학교연계사업-중학교 진로탐색프로그램, 우울증 인식개선교육 프로그램 보조진행*모집대상 : 대학생, 대학원생, 직장인 / 사회복지학 또는 청소년학과, 교육학과 전공생이면 유리함*활동일시 : 2019년 4월 30일 08:30-11:30 (청소년 진로탐색프로그램)               2019년 7월 10일, 11일 10:00-13:00 (청소년 정신건강증진프로그램)               2019년 8월 16일 10:00-13:00 (청소년 정신건강증진프로그램)*활동장소 : 이대복지관 및 중학교 2개교*활동인증 : VMS 자원봉사실적입력*신청 및 문의 : VMS 신청 후, 전화연락 02-3277-3193 가족서비스팀 윤지현 사회복지사 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
북구 임동 광주천변 쓰레기 수거 및 EM흙공 만들기 자원봉사자 모집,광주,북구,공통,"지구시민운동연합 광주 북구지회 두물머리 환경정화 활동-  취지 : 광주 북구 두물머리 주변 하천의 수질을 개선하기 위해 유용한 미생물을 발효시키는 EM흙공을 만들고, 주변에 버려진 쓰레기를 수거하는 자원봉사를 실시합니다..1. 봉사일자 : 2019-04-20(토)~2019-04-20(토) 오전 10시 - 12시2. 봉사장소 : 광주천 두물머리(기아타이거즈 챔피언스필드 건너편 광주사회복지회관 옆 팔각정)3. 봉사내용 : 북구 임동 광주천변 쓰레기 수거 및 EM흙공 만들기 자원봉사자 모집4. 활동 : 1. EM흙공 만들기          2. 두물머리 주변 쓰레기 수거        프로그램 및 시간은 변경될 수 있습니다.      5. 혜택 : 자원봉사 시간 인증6. 문의 : 북구지회 지회장  류옥분 010-6790-8690                        사무장  이재형 010-7545-4160    **많은 관심과 신청바랍니다.^^**※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
대전 목척교 정화활동 자원봉사자 모집,대전,중구,공통,"'지구시민운동연합' 대전지부    EM으로 환경을 살려요  지구시민들이 함께 만드는 아름다운 세상-  취지 : 지구사랑, 인간사랑을 실천하는 지구시민활동소개와 더불어 지역의 3대하천중에 하나인 대전천(목척교 일대) 정화활동을 통해 지구시민, 대전시민으로서의 자긍심을 느끼고 환경살리기 활동을 실천할 수 있는 기회가 되고 자 함.1. 봉사일자 : 2019-04-20(토)~2019-04-20(토) 오전 10시 -12시2. 봉사장소 : 대전 중구 목척교 아래3. 봉사내용 : 대전 목척교 정화활동 자원봉사자 모집4. 활동 : 1. 지구시민운동 활동 소개 및 동참 독려, 설문지 작성           2. 내몸과 친해지기-건강캠페인           3. em발효액 흘려보내기 및 하천정화활동           4. 나눔 및 정리                  ※ 상황에 따라 프로그램 및 시간은 변경될 수 있습니다.      5. 혜택 : 자원봉사 시간 인증6. 문의 : 지구시민운동연합 대전지부 담당 이규혜사무국장 010-4212-5286 / 전화 042-252-6242            **많은 관심과 신청바랍니다.^^** ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
아름다운가게 용인죽전점 월요일 오후 자원활동가 모집,경기,용인시,공통,"1. 봉사일자 : 2019-04-22~2019-07-29                 (매주 월요일 오후 14:00~18:00, 매니저와 협의 후 조율 가능)2. 봉사장소 : 아름다운가게 용인죽전점3. 봉사내용 : 기증품 접수, 판매물품 진열, 매장 청소, 고객 응대 등 매장 운영 관련 제반 활동※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
아름다운가게 용인죽전점 화요일 오후 자원활동가 모집,경기,용인시,공통,"1. 봉사일자 : 2019-04-23~2019-07-30                 (매주 화요일 오후 14:00~18:00, 매니저와 협의 후 조율 가능)2. 봉사장소 : 아름다운가게 용인죽전점3. 봉사내용 : 기증품 접수, 판매물품 진열, 매장 청소, 고객 응대 등 매장 운영 관련 제반 활동※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
아름다운가게 용인죽전점 목요일 오후 자원활동가 모집,경기,용인시,공통,"1. 봉사일자 : 2019-04-18~2019-07-25                 (매주 목요일 오후 14:00~18:00, 매니저와 협의 후 조율 가능)2. 봉사장소 : 아름다운가게 용인죽전점3. 봉사내용 : 기증품 접수, 판매물품 진열, 매장 청소, 고객 응대 등 매장 운영 관련 제반 활동※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
아름다운가게 용인동백점 금요일 오후 자원활동가 모집,경기,용인시,공통,"1. 봉사일자 : 2019-04-19~2019-07-26                 (매주 금요일 오후 14:00~18:00, 매니저와 협의 후 조정 가능)2. 봉사장소 : 아름다운가게 용인동백점3. 봉사내용 : 기증품 접수, 판매물품 진열, 매장 청소, 고객 응대 등 매장 운영 관련 제반 활동※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
아름다운가게 용인동백점 목요일 오후 자원활동가 모집,경기,용인시,공통,"1. 봉사일자 : 2019-04-18~2019-07-25                 (매주 목요일 14:00~18:00, 매니저와 협의 후 조율 가능)2. 봉사장소 : 아름다운가게 용인동백점3. 봉사내용 : 기증품 접수, 판매물품 진열, 매장 청소, 고객 응대 등 매장 운영 관련 제반 활동※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
아름다운가게 용인동백점 수요일 오후 자원활동가 모집,경기,용인시,공통,"1. 봉사일자 : 2019-04-24~2019-07-31                 매주 수요일 오후, 14:00~18:00, 조율 가능2. 봉사장소 : 아름다운가게 용인동백점3. 봉사내용 : 기증품 접수, 매장 청소, 판매물품 진열, 고객 응대, 매장 청소 등 매장 운영 관련 제반 활동 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
어르신을 위한 점심무료급식 봉사,경기,화성시,공통,"비영리사단법인/더불어사는우리/만나무료급식소에서는 의미있고 뜻깊고 재미있는 봉사자를 모집합니다.☞ 일시 : 평일(월요일~금요일) 오전9:30~오후2:30까지 운영됩니다.필독 1.중학생은 신청불가. 2.토요일, 일요일, 공휴일(빨간 글씨), 매달 26일은 쉽니다.(시스템 상에서 신청이 가능해도 봉사할 수 없습니다.)3.봉사신청 방법:신청 전, 먼저 봉사가 가능한 날짜를 담당자(010-4258-6689)에게 전화문의(문자안됨)를 한 다음 봉사사이트에 신청하시면 됩니다. 4.오시면 하는 일 : 반갑게 인사, 말벗, 식사배급, 정리정돈, 뒷정리 5.봉사점수는 봉사하신 이틀 후 올라가며 7일이 지나도 확인이 안되면 바로 연락주셔야 합니다.☞ 기타 문의사항 : 010-4258-6689 홈페이지 http://mannafree.com경기도 화성시 남양읍 남양성지로 165 만나무료급식소 안※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
어르신을 위한 점심무료급식 봉사,경기,화성시,공통,"비영리사단법인/더불어사는우리/만나무료급식소에서는 의미있고 뜻깊고 재미있는 봉사자를 모집합니다.☞ 일시 : 평일(월요일~금요일) 오전9:30~오후2:30까지 운영됩니다.필독 1.중학생은 신청불가. 2.토요일, 일요일, 공휴일(빨간 글씨), 매달 26일은 쉽니다.(시스템 상에서 신청이 가능해도 봉사할 수 없습니다.)3.봉사신청 방법:신청 전, 먼저 봉사가 가능한 날짜를 담당자(010-4258-6689)에게 전화문의(문자안됨)를 한 다음 봉사사이트에 신청하시면 됩니다. 4.오시면 하는 일 : 반갑게 인사, 말벗, 식사배급, 정리정돈, 뒷정리 5.봉사점수는 봉사하신 이틀 후 올라가며 7일이 지나도 확인이 안되면 바로 연락주셔야 합니다.☞ 기타 문의사항 : 010-4258-6689 홈페이지 http://mannafree.com경기도 화성시 남양읍 남양성지로 165 만나무료급식소 안※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
어르신을 위한 점심무료급식 봉사,경기,화성시,공통,"비영리사단법인/더불어사는우리/만나무료급식소에서는 의미있고 뜻깊고 재미있는 봉사자를 모집합니다.☞ 일시 : 평일(월요일~금요일) 오전9:30~오후2:30까지 운영됩니다.필독 1.중학생은 신청불가. 2.토요일, 일요일, 공휴일(빨간 글씨), 매달 26일은 쉽니다.(시스템 상에서 신청이 가능해도 봉사할 수 없습니다.)3.봉사신청 방법:신청 전, 먼저 봉사가 가능한 날짜를 담당자(010-4258-6689)에게 전화문의(문자안됨)를 한 다음 봉사사이트에 신청하시면 됩니다. 4.오시면 하는 일 : 반갑게 인사, 말벗, 식사배급, 정리정돈, 뒷정리 5.봉사점수는 봉사하신 이틀 후 올라가며 7일이 지나도 확인이 안되면 바로 연락주셔야 합니다.☞ 기타 문의사항 : 010-4258-6689 홈페이지 http://mannafree.com경기도 화성시 남양읍 남양성지로 165 만나무료급식소 안※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
그린닥터스 사무국 행정업무보조,부산,부산진구,공통,"봉사날짜 : 4월 15일 부터 4월 한달 간봉사시간 : 10:00 ~ 16:00(6시간) => 날짜, 시간 조정가능(유동적), 점심식사 제공봉사장소 : 부산광역시 부산진구 가야대로 721, 15F 그린닥터스 사무국활동내용 : 사무국 업무보조, 행정지원* 단기적인 봉사로 변경가능* 봉사신청 후 문자주시면 연락드립니다. (업무중에는 확인이 어려워요 ㅠㅠ)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"[대전, 김천] 어르신 효도관광 행사안내 자원봉사자모집 ",대전,동구,공통,"안녕하세요 봉사자님^^자원봉사자 모집공지드립니다.- 행사내용 : 어르신 효도관광 행사 질서유지 자원봉사자모집- 행사일시 : 2019년 4월 23일- 집합장소 : 대전광역시 동구 역전시장길 4( 정동 1-132) 또는 김천시 대항면 운수리 357-4 한국효문화관- 집합시간 : 대전에서 집합시 8시, 김천에서 집합시 9시 30분- 봉사내용 : 행사보조- 자원봉사도우미 전원 VMS 또는 1365 봉사활동시간 적립 및 점심제공* 신청하고 문자부탁드립니다.  박정민 대리 010-6704-0041감사합니다.좋은하루되세요 ^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
강북마을기자단 2기 모집,서울,강북구,공통,"주민들이 직접 만드는 우리동네 신문우리동네 소식 배달원 ""강북마을기자단"" 2기를 모집합니다. 모집 대상 : 강북구 거주기간 3년 이상이며 마을을 사랑하는 주민 중 선발된 지역주민               (취재 및 기사 작성이나 영상 및 사진촬영에 관심과 흥미가 있는 주민 - 처음하시는 분도 환영합니다!)모집 인원 : 15명활동 기간 : 2019. 4~11(총 8개월)               *정기모임 매월 1회 토요일 예정 (세부사항은 변경될 수 있습니다.)신청 기간 : 2019. 4. 1(월) ~ 21(일) 3주간모집 절차 : 신청접수 - 상담 및 선발 - 개별 안내 - 마을기자단 활동(일정 추후 안내)혜       택 : 자원봉사시간(VMS) 제공, 기자단원증 및 수료증 발급                신청방법 : 방문접수 혹은 블로그(https://blog.naver.com/gangbukwelfare) 게시판 > 공지사항에 신청서 작성 후 메일 전송(rlathwjd7911@nate.com)                ※ VMS상에서 신청은 신청서 미작성으로 인정되지 않으니 블로그에서 신청서 확인 후 작성해서 발송 부탁드립니다!신청 문의 : 02)984-5811~4 김소정 사회복지사※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
밀알복지재단 인천지부 플리마켓 운영보조,인천,연수구,공통,"안녕하세요 밀알복지재단 인천지부 최재민 사회복지사입니다.밀알복지재단은 1993년 설립되어 국내 장애인, 노인, 지역복지 등을 위한 46개 산하시설과 7개 지부를 운영하고 있으며,해외 18개국에서 특수학교 운영, 빈곤아동지원, 이동진료 등 국제개발협력사업을 수행하고 있습니다.특히, 인천지부는 장애아동이 시기를 놓치지 않고 치료받을 수 있도록 입원비, 수술비 등을 지원하는 사업을 중점적으로 진행하고 있습니다.이에 우리지부는 연수구청 위생관리과에서 주관하는 '생동감축제 오십시영' 축제에서 장애아동 의료비지원 기금마련을 위한 플리마켓을 진행합니다.즐거운 마음으로 함께하실 선생님들의 많은 지원부탁드립니다.1. 사업명: 인천지역 장애아동 의료지원 기금마련을 위한 나눔플리마켓2. 일시: 2019.05.10.(금)~11.(토) 16:00~22:30(6시간 30분)3. 장소: 인천 연수구 선학동 음식문화시범거리(선학역 3번출구)4. 주요활동: 잡화류 판매 보조5. 세부모집사항(양일 중복지원 가능): 5월10일 - 5명 / 11일 - 5명6. 담당자 연락처: 최재민 사회복지사(070-7457-9306/010-4170-1982), 이용모 사회복지사(070-7457-9305) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[본동종합사회복지관] 본동한그릇 행사 자원봉사자 모집,서울,동작구,공통,"본동종합사회복지관에서는 매 월 셋째주 수요일행복한 밥상, 마음을 나누고 사랑을 더하는 마을잔치를 진행하고자 합니다.따뜻한 행사에 함께하고자 하는 봉사자 선생님들께서는 많은 신청 부탁드립니다!- 활동일시 : 2019년 4월 17일(수) 09:00 ~ 14:00 (점심식사제공)- 활동장소 : 본동종합사회복지관- 봉사내용 : 행사 보조(세팅, 음식 서빙, 뒷정리 등)- 인원 : 5명- 위치 : 서울시 동작구 노량진로 32길 79 본동종합사회복지관- 봉사문의 : 본동종합사회복지관 서비스제공2팀 정유지 사회복지사 02)817-8052~3 ※ VMS로 신청해주시면 확인 후 개별 유선연락 드리겠습니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[양천장애인종합복지관]장애인식개선캠페인,서울,양천구,공통,"- 활동시간 : 09:00~16:00- 활동장소 : 양천구 행복한세상백화점 - 활동내용 : 장애인식개선캠페인 보조활동(캠페인 진행, 행사 보조 등)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
